=== RUN   TestCompleteWorkflow
    gpu_test.go:317: Creating input vectors...
    gpu_test.go:337: Initializing communicator...
    gpu_test.go:350: Transferring vectors to GPUs...
    gpu_test.go:374: Starting group operation...
    gpu_test.go:383: Beginning AllReduce operation...
    gpu_test.go:403: Ending group operation...
    gpu_test.go:411: Checking status...
    gpu_test.go:430: Operation completed, copying results...
    gpu_test.go:457: Result[0] = 0.000000, want 10.000000
    gpu_test.go:457: Result[1] = 0.000000, want 10.000000
    gpu_test.go:457: Result[2] = 0.000000, want 10.000000
    gpu_test.go:457: Result[3] = 0.000000, want 10.000000
    gpu_test.go:457: Result[4] = 0.000000, want 10.000000
    gpu_test.go:457: Result[5] = 0.000000, want 10.000000
    gpu_test.go:457: Result[6] = 0.000000, want 10.000000
    gpu_test.go:457: Result[7] = 0.000000, want 10.000000
    gpu_test.go:457: Result[8] = 0.000000, want 10.000000
    gpu_test.go:457: Result[9] = 0.000000, want 10.000000
    gpu_test.go:457: Result[10] = 0.000000, want 10.000000
    gpu_test.go:457: Result[11] = 0.000000, want 10.000000
    gpu_test.go:457: Result[12] = 0.000000, want 10.000000
    gpu_test.go:457: Result[13] = 0.000000, want 10.000000
    gpu_test.go:457: Result[14] = 0.000000, want 10.000000
    gpu_test.go:457: Result[15] = 0.000000, want 10.000000
    gpu_test.go:457: Result[16] = 0.000000, want 10.000000
    gpu_test.go:457: Result[17] = 0.000000, want 10.000000
    gpu_test.go:457: Result[18] = 0.000000, want 10.000000
    gpu_test.go:457: Result[19] = 0.000000, want 10.000000
    gpu_test.go:457: Result[20] = 0.000000, want 10.000000
    gpu_test.go:457: Result[21] = 0.000000, want 10.000000
    gpu_test.go:457: Result[22] = 0.000000, want 10.000000
    gpu_test.go:457: Result[23] = 0.000000, want 10.000000
    gpu_test.go:457: Result[24] = 0.000000, want 10.000000
    gpu_test.go:457: Result[25] = 0.000000, want 10.000000
    gpu_test.go:457: Result[26] = 0.000000, want 10.000000
    gpu_test.go:457: Result[27] = 0.000000, want 10.000000
    gpu_test.go:457: Result[28] = 0.000000, want 10.000000
    gpu_test.go:457: Result[29] = 0.000000, want 10.000000
    gpu_test.go:457: Result[30] = 0.000000, want 10.000000
    gpu_test.go:457: Result[31] = 0.000000, want 10.000000
    gpu_test.go:457: Result[32] = 0.000000, want 10.000000
    gpu_test.go:457: Result[33] = 0.000000, want 10.000000
    gpu_test.go:457: Result[34] = 0.000000, want 10.000000
    gpu_test.go:457: Result[35] = 0.000000, want 10.000000
    gpu_test.go:457: Result[36] = 0.000000, want 10.000000
    gpu_test.go:457: Result[37] = 0.000000, want 10.000000
    gpu_test.go:457: Result[38] = 0.000000, want 10.000000
    gpu_test.go:457: Result[39] = 0.000000, want 10.000000
    gpu_test.go:457: Result[40] = 0.000000, want 10.000000
    gpu_test.go:457: Result[41] = 0.000000, want 10.000000
    gpu_test.go:457: Result[42] = 0.000000, want 10.000000
    gpu_test.go:457: Result[43] = 0.000000, want 10.000000
    gpu_test.go:457: Result[44] = 0.000000, want 10.000000
    gpu_test.go:457: Result[45] = 0.000000, want 10.000000
    gpu_test.go:457: Result[46] = 0.000000, want 10.000000
    gpu_test.go:457: Result[47] = 0.000000, want 10.000000
    gpu_test.go:457: Result[48] = 0.000000, want 10.000000
    gpu_test.go:457: Result[49] = 0.000000, want 10.000000
    gpu_test.go:457: Result[50] = 0.000000, want 10.000000
    gpu_test.go:457: Result[51] = 0.000000, want 10.000000
    gpu_test.go:457: Result[52] = 0.000000, want 10.000000
    gpu_test.go:457: Result[53] = 0.000000, want 10.000000
    gpu_test.go:457: Result[54] = 0.000000, want 10.000000
    gpu_test.go:457: Result[55] = 0.000000, want 10.000000
    gpu_test.go:457: Result[56] = 0.000000, want 10.000000
    gpu_test.go:457: Result[57] = 0.000000, want 10.000000
    gpu_test.go:457: Result[58] = 0.000000, want 10.000000
    gpu_test.go:457: Result[59] = 0.000000, want 10.000000
    gpu_test.go:457: Result[60] = 0.000000, want 10.000000
    gpu_test.go:457: Result[61] = 0.000000, want 10.000000
    gpu_test.go:457: Result[62] = 0.000000, want 10.000000
    gpu_test.go:457: Result[63] = 0.000000, want 10.000000
    gpu_test.go:457: Result[64] = 0.000000, want 10.000000
    gpu_test.go:457: Result[65] = 0.000000, want 10.000000
    gpu_test.go:457: Result[66] = 0.000000, want 10.000000
    gpu_test.go:457: Result[67] = 0.000000, want 10.000000
    gpu_test.go:457: Result[68] = 0.000000, want 10.000000
    gpu_test.go:457: Result[69] = 0.000000, want 10.000000
    gpu_test.go:457: Result[70] = 0.000000, want 10.000000
    gpu_test.go:457: Result[71] = 0.000000, want 10.000000
    gpu_test.go:457: Result[72] = 0.000000, want 10.000000
    gpu_test.go:457: Result[73] = 0.000000, want 10.000000
    gpu_test.go:457: Result[74] = 0.000000, want 10.000000
    gpu_test.go:457: Result[75] = 0.000000, want 10.000000
    gpu_test.go:457: Result[76] = 0.000000, want 10.000000
    gpu_test.go:457: Result[77] = 0.000000, want 10.000000
    gpu_test.go:457: Result[78] = 0.000000, want 10.000000
    gpu_test.go:457: Result[79] = 0.000000, want 10.000000
    gpu_test.go:457: Result[80] = 0.000000, want 10.000000
    gpu_test.go:457: Result[81] = 0.000000, want 10.000000
    gpu_test.go:457: Result[82] = 0.000000, want 10.000000
    gpu_test.go:457: Result[83] = 0.000000, want 10.000000
    gpu_test.go:457: Result[84] = 0.000000, want 10.000000
    gpu_test.go:457: Result[85] = 0.000000, want 10.000000
    gpu_test.go:457: Result[86] = 0.000000, want 10.000000
    gpu_test.go:457: Result[87] = 0.000000, want 10.000000
    gpu_test.go:457: Result[88] = 0.000000, want 10.000000
    gpu_test.go:457: Result[89] = 0.000000, want 10.000000
    gpu_test.go:457: Result[90] = 0.000000, want 10.000000
    gpu_test.go:457: Result[91] = 0.000000, want 10.000000
    gpu_test.go:457: Result[92] = 0.000000, want 10.000000
    gpu_test.go:457: Result[93] = 0.000000, want 10.000000
    gpu_test.go:457: Result[94] = 0.000000, want 10.000000
    gpu_test.go:457: Result[95] = 0.000000, want 10.000000
    gpu_test.go:457: Result[96] = 0.000000, want 10.000000
    gpu_test.go:457: Result[97] = 0.000000, want 10.000000
    gpu_test.go:457: Result[98] = 0.000000, want 10.000000
    gpu_test.go:457: Result[99] = 0.000000, want 10.000000
    gpu_test.go:457: Result[100] = 0.000000, want 10.000000
    gpu_test.go:457: Result[101] = 0.000000, want 10.000000
    gpu_test.go:457: Result[102] = 0.000000, want 10.000000
    gpu_test.go:457: Result[103] = 0.000000, want 10.000000
    gpu_test.go:457: Result[104] = 0.000000, want 10.000000
    gpu_test.go:457: Result[105] = 0.000000, want 10.000000
    gpu_test.go:457: Result[106] = 0.000000, want 10.000000
    gpu_test.go:457: Result[107] = 0.000000, want 10.000000
    gpu_test.go:457: Result[108] = 0.000000, want 10.000000
    gpu_test.go:457: Result[109] = 0.000000, want 10.000000
    gpu_test.go:457: Result[110] = 0.000000, want 10.000000
    gpu_test.go:457: Result[111] = 0.000000, want 10.000000
    gpu_test.go:457: Result[112] = 0.000000, want 10.000000
    gpu_test.go:457: Result[113] = 0.000000, want 10.000000
    gpu_test.go:457: Result[114] = 0.000000, want 10.000000
    gpu_test.go:457: Result[115] = 0.000000, want 10.000000
    gpu_test.go:457: Result[116] = 0.000000, want 10.000000
    gpu_test.go:457: Result[117] = 0.000000, want 10.000000
    gpu_test.go:457: Result[118] = 0.000000, want 10.000000
    gpu_test.go:457: Result[119] = 0.000000, want 10.000000
    gpu_test.go:457: Result[120] = 0.000000, want 10.000000
    gpu_test.go:457: Result[121] = 0.000000, want 10.000000
    gpu_test.go:457: Result[122] = 0.000000, want 10.000000
    gpu_test.go:457: Result[123] = 0.000000, want 10.000000
    gpu_test.go:457: Result[124] = 0.000000, want 10.000000
    gpu_test.go:457: Result[125] = 0.000000, want 10.000000
    gpu_test.go:457: Result[126] = 0.000000, want 10.000000
    gpu_test.go:457: Result[127] = 0.000000, want 10.000000
    gpu_test.go:457: Result[128] = 0.000000, want 10.000000
    gpu_test.go:457: Result[129] = 0.000000, want 10.000000
    gpu_test.go:457: Result[130] = 0.000000, want 10.000000
    gpu_test.go:457: Result[131] = 0.000000, want 10.000000
    gpu_test.go:457: Result[132] = 0.000000, want 10.000000
    gpu_test.go:457: Result[133] = 0.000000, want 10.000000
    gpu_test.go:457: Result[134] = 0.000000, want 10.000000
    gpu_test.go:457: Result[135] = 0.000000, want 10.000000
    gpu_test.go:457: Result[136] = 0.000000, want 10.000000
    gpu_test.go:457: Result[137] = 0.000000, want 10.000000
    gpu_test.go:457: Result[138] = 0.000000, want 10.000000
    gpu_test.go:457: Result[139] = 0.000000, want 10.000000
    gpu_test.go:457: Result[140] = 0.000000, want 10.000000
    gpu_test.go:457: Result[141] = 0.000000, want 10.000000
    gpu_test.go:457: Result[142] = 0.000000, want 10.000000
    gpu_test.go:457: Result[143] = 0.000000, want 10.000000
    gpu_test.go:457: Result[144] = 0.000000, want 10.000000
    gpu_test.go:457: Result[145] = 0.000000, want 10.000000
    gpu_test.go:457: Result[146] = 0.000000, want 10.000000
    gpu_test.go:457: Result[147] = 0.000000, want 10.000000
    gpu_test.go:457: Result[148] = 0.000000, want 10.000000
    gpu_test.go:457: Result[149] = 0.000000, want 10.000000
    gpu_test.go:457: Result[150] = 0.000000, want 10.000000
    gpu_test.go:457: Result[151] = 0.000000, want 10.000000
    gpu_test.go:457: Result[152] = 0.000000, want 10.000000
    gpu_test.go:457: Result[153] = 0.000000, want 10.000000
    gpu_test.go:457: Result[154] = 0.000000, want 10.000000
    gpu_test.go:457: Result[155] = 0.000000, want 10.000000
    gpu_test.go:457: Result[156] = 0.000000, want 10.000000
    gpu_test.go:457: Result[157] = 0.000000, want 10.000000
    gpu_test.go:457: Result[158] = 0.000000, want 10.000000
    gpu_test.go:457: Result[159] = 0.000000, want 10.000000
    gpu_test.go:457: Result[160] = 0.000000, want 10.000000
    gpu_test.go:457: Result[161] = 0.000000, want 10.000000
    gpu_test.go:457: Result[162] = 0.000000, want 10.000000
    gpu_test.go:457: Result[163] = 0.000000, want 10.000000
    gpu_test.go:457: Result[164] = 0.000000, want 10.000000
    gpu_test.go:457: Result[165] = 0.000000, want 10.000000
    gpu_test.go:457: Result[166] = 0.000000, want 10.000000
    gpu_test.go:457: Result[167] = 0.000000, want 10.000000
    gpu_test.go:457: Result[168] = 0.000000, want 10.000000
    gpu_test.go:457: Result[169] = 0.000000, want 10.000000
    gpu_test.go:457: Result[170] = 0.000000, want 10.000000
    gpu_test.go:457: Result[171] = 0.000000, want 10.000000
    gpu_test.go:457: Result[172] = 0.000000, want 10.000000
    gpu_test.go:457: Result[173] = 0.000000, want 10.000000
    gpu_test.go:457: Result[174] = 0.000000, want 10.000000
    gpu_test.go:457: Result[175] = 0.000000, want 10.000000
    gpu_test.go:457: Result[176] = 0.000000, want 10.000000
    gpu_test.go:457: Result[177] = 0.000000, want 10.000000
    gpu_test.go:457: Result[178] = 0.000000, want 10.000000
    gpu_test.go:457: Result[179] = 0.000000, want 10.000000
    gpu_test.go:457: Result[180] = 0.000000, want 10.000000
    gpu_test.go:457: Result[181] = 0.000000, want 10.000000
    gpu_test.go:457: Result[182] = 0.000000, want 10.000000
    gpu_test.go:457: Result[183] = 0.000000, want 10.000000
    gpu_test.go:457: Result[184] = 0.000000, want 10.000000
    gpu_test.go:457: Result[185] = 0.000000, want 10.000000
    gpu_test.go:457: Result[186] = 0.000000, want 10.000000
    gpu_test.go:457: Result[187] = 0.000000, want 10.000000
    gpu_test.go:457: Result[188] = 0.000000, want 10.000000
    gpu_test.go:457: Result[189] = 0.000000, want 10.000000
    gpu_test.go:457: Result[190] = 0.000000, want 10.000000
    gpu_test.go:457: Result[191] = 0.000000, want 10.000000
    gpu_test.go:457: Result[192] = 0.000000, want 10.000000
    gpu_test.go:457: Result[193] = 0.000000, want 10.000000
    gpu_test.go:457: Result[194] = 0.000000, want 10.000000
    gpu_test.go:457: Result[195] = 0.000000, want 10.000000
    gpu_test.go:457: Result[196] = 0.000000, want 10.000000
    gpu_test.go:457: Result[197] = 0.000000, want 10.000000
    gpu_test.go:457: Result[198] = 0.000000, want 10.000000
    gpu_test.go:457: Result[199] = 0.000000, want 10.000000
    gpu_test.go:457: Result[200] = 0.000000, want 10.000000
    gpu_test.go:457: Result[201] = 0.000000, want 10.000000
    gpu_test.go:457: Result[202] = 0.000000, want 10.000000
    gpu_test.go:457: Result[203] = 0.000000, want 10.000000
    gpu_test.go:457: Result[204] = 0.000000, want 10.000000
    gpu_test.go:457: Result[205] = 0.000000, want 10.000000
    gpu_test.go:457: Result[206] = 0.000000, want 10.000000
    gpu_test.go:457: Result[207] = 0.000000, want 10.000000
    gpu_test.go:457: Result[208] = 0.000000, want 10.000000
    gpu_test.go:457: Result[209] = 0.000000, want 10.000000
    gpu_test.go:457: Result[210] = 0.000000, want 10.000000
    gpu_test.go:457: Result[211] = 0.000000, want 10.000000
    gpu_test.go:457: Result[212] = 0.000000, want 10.000000
    gpu_test.go:457: Result[213] = 0.000000, want 10.000000
    gpu_test.go:457: Result[214] = 0.000000, want 10.000000
    gpu_test.go:457: Result[215] = 0.000000, want 10.000000
    gpu_test.go:457: Result[216] = 0.000000, want 10.000000
    gpu_test.go:457: Result[217] = 0.000000, want 10.000000
    gpu_test.go:457: Result[218] = 0.000000, want 10.000000
    gpu_test.go:457: Result[219] = 0.000000, want 10.000000
    gpu_test.go:457: Result[220] = 0.000000, want 10.000000
    gpu_test.go:457: Result[221] = 0.000000, want 10.000000
    gpu_test.go:457: Result[222] = 0.000000, want 10.000000
    gpu_test.go:457: Result[223] = 0.000000, want 10.000000
    gpu_test.go:457: Result[224] = 0.000000, want 10.000000
    gpu_test.go:457: Result[225] = 0.000000, want 10.000000
    gpu_test.go:457: Result[226] = 0.000000, want 10.000000
    gpu_test.go:457: Result[227] = 0.000000, want 10.000000
    gpu_test.go:457: Result[228] = 0.000000, want 10.000000
    gpu_test.go:457: Result[229] = 0.000000, want 10.000000
    gpu_test.go:457: Result[230] = 0.000000, want 10.000000
    gpu_test.go:457: Result[231] = 0.000000, want 10.000000
    gpu_test.go:457: Result[232] = 0.000000, want 10.000000
    gpu_test.go:457: Result[233] = 0.000000, want 10.000000
    gpu_test.go:457: Result[234] = 0.000000, want 10.000000
    gpu_test.go:457: Result[235] = 0.000000, want 10.000000
    gpu_test.go:457: Result[236] = 0.000000, want 10.000000
    gpu_test.go:457: Result[237] = 0.000000, want 10.000000
    gpu_test.go:457: Result[238] = 0.000000, want 10.000000
    gpu_test.go:457: Result[239] = 0.000000, want 10.000000
    gpu_test.go:457: Result[240] = 0.000000, want 10.000000
    gpu_test.go:457: Result[241] = 0.000000, want 10.000000
    gpu_test.go:457: Result[242] = 0.000000, want 10.000000
    gpu_test.go:457: Result[243] = 0.000000, want 10.000000
    gpu_test.go:457: Result[244] = 0.000000, want 10.000000
    gpu_test.go:457: Result[245] = 0.000000, want 10.000000
    gpu_test.go:457: Result[246] = 0.000000, want 10.000000
    gpu_test.go:457: Result[247] = 0.000000, want 10.000000
    gpu_test.go:457: Result[248] = 0.000000, want 10.000000
    gpu_test.go:457: Result[249] = 0.000000, want 10.000000
    gpu_test.go:457: Result[250] = 0.000000, want 10.000000
    gpu_test.go:457: Result[251] = 0.000000, want 10.000000
    gpu_test.go:457: Result[252] = 0.000000, want 10.000000
    gpu_test.go:457: Result[253] = 0.000000, want 10.000000
    gpu_test.go:457: Result[254] = 0.000000, want 10.000000
    gpu_test.go:457: Result[255] = 0.000000, want 10.000000
    gpu_test.go:457: Result[256] = 0.000000, want 10.000000
    gpu_test.go:457: Result[257] = 0.000000, want 10.000000
    gpu_test.go:457: Result[258] = 0.000000, want 10.000000
    gpu_test.go:457: Result[259] = 0.000000, want 10.000000
    gpu_test.go:457: Result[260] = 0.000000, want 10.000000
    gpu_test.go:457: Result[261] = 0.000000, want 10.000000
    gpu_test.go:457: Result[262] = 0.000000, want 10.000000
    gpu_test.go:457: Result[263] = 0.000000, want 10.000000
    gpu_test.go:457: Result[264] = 0.000000, want 10.000000
    gpu_test.go:457: Result[265] = 0.000000, want 10.000000
    gpu_test.go:457: Result[266] = 0.000000, want 10.000000
    gpu_test.go:457: Result[267] = 0.000000, want 10.000000
    gpu_test.go:457: Result[268] = 0.000000, want 10.000000
    gpu_test.go:457: Result[269] = 0.000000, want 10.000000
    gpu_test.go:457: Result[270] = 0.000000, want 10.000000
    gpu_test.go:457: Result[271] = 0.000000, want 10.000000
    gpu_test.go:457: Result[272] = 0.000000, want 10.000000
